Course Number,Course Name,Number of Units,Description,Prerequisites
AIP 197,Academic Internship Program ,"4, 8, 12","Individual placements for traditional field learning. Must be integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. ",ninety units completed; 2.5 minimum cumulative GPA; departmental stamp.
AIP 197F,Academic Internship Program—Foreign ,"4, 8, 12","Individual placements for field learning opportunities abroad. Must be integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. ",ninety units completed; 2.5 minimum cumulative GPA; departmental stamp.
AIP 197P,Public Service Minor Internship ,4,"Individual placements for field learning in nonprofit organizations dedicated to providing services in the areas of education, government, social research, and health. Three quarter sequence integrated with academic programs. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. ",ninety units completed; 2.5 minimum cumulative GPA; departmental stamp.
AIP 197T,Academic Internship Program—Special Programs,AIP 197T. Academic Internship Program—Special Programs,"Individual placements for field learning associated with UC San Diego partnerships and special programs. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. ",ninety units minimum completed; 2.5 minimum cumulative GPA; departmental stamp.
AAS 10,Introduction to African American Studies ,4,"This course will cover the experiences of peoples of African descent in the U.S. and broader African Diaspora from the vantage points of cultural production, political practice, socioeconomic conditions, and the overall struggle for social justice along intersecting lines of race, gender, and class. Topics reviewed include: slavery (and slave rebellion), Reconstruction, Jim Crow apartheid, the Great Migration and Harlem Renaissance, and the Civil Rights and Black Power Movements.",none
AAS 87,Freshman Seminar ,1,"The Freshman Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to 15-20 students. Enrollment priority will be given to freshmen. Seminars are open to sophomores, juniors and seniors on a space available basis. P/NP grades only. May be taken for credit four times.",none
AAS 198,Directed Group Study in African American Studies ,2 or 4,Directed group study on a topic or in a field not included in the regular curriculum by special arrangement with a faculty member. P/NP grades only. May be taken for credit two times. ,"upper-division standing unless otherwise authorized. Completion of 90 units of undergraduate study, completion and approval of the Special Studies Form."
AAS 199,Independent Study in African American Studies ,2 or 4,Individual research and study on a particular subject related to African American studies by special arrangement with and under the direction of a faculty member. P/NP grades only. May be taken for credit two times. ,upper-division standing. Enrollment via the faculty director of the African American Studies Minor only.
ANTH 1,Introduction to Culture ,4,"An introduction to the anthropological approach to understanding human behavior, with an examination of data from a selection of societies and cultures.",none
ANTH 2,Human Origins ,4,"An introduction to human evolution from the perspective of physical anthropology, including evolutionary theory and the evolution of the primates, hominids, and modern humans. Emphasis is placed on evidence from fossil remains and behavioral studies of living primates.",none
ANTH 3,Global Archaeology ,4,"This course examines theories and methods used by archaeologists to investigate the origins and nature of human culture and its materiality. Case studies from the past and present, and digital heritage are explored. Recommended for many upper-division archaeology courses.",none
ANTH 4,Words and Worlds: Introduction to the Anthropology of Language ,4,"How does ones language mutually interact with the social, cultural, and conceptual worlds one inhabits and mutually constructs with others? This course will introduce the comparative study of social life through the lens of the uniquely human capacity for language.",none
ANTH 5,The Human Machine: The Skeleton Within ,4,"Course will provide an introduction to bones as a tissue, to different bones in the body, and the ligaments and muscles surrounding major joints. You will learn how the skeleton, ligaments, and muscles support our mode of locomotion; the differences between male and female skeletons; and the differences across human populations. You'll see how nutrition and disease can affect bones. Course examines functional areas within the body.",none
ANTH 21,Race and Racisms ,4,"Why does racism still matter? How is racism experienced in the United States and across the globe? With insights from the biology of human variation, archaeology, colonial history, and sociocultural anthropology, we examine how notions of race and ethnicity structure contemporary societies.",none
ANTH 23,"Debating Multiculturalism: Race, Ethnicity, and Class in American Societies ",4,"This course focuses on the debate about multiculturalism in American society. It examines the interaction of race, ethnicity, and class, historically and comparatively, and considers the problem of citizenship in relation to the growing polarization of multiple social identities.",none
ANTH 42,Primates in a Human-Dominated World ,4,"Major primate field studies will be studied to illustrate common features of primate behavior and behavioral diversity. Topics will include communication, female hierarchies, protocultural behavior, social learning and tool use, play, cognition, and self-awareness.",none
ANTH 43,Introduction to Biology and Culture of Race ,4,"This course examines conceptions of race from evolutionary and sociocultural perspectives. We will critically examine how patterns of current human genetic variation map onto conceptions of race. We will also focus on the history of the race concept and explore ways in which biomedical researchers and physicians use racial categories today. Finally, we will examine the social construction of race, and the experiences and consequences of racism on health in the United States and internationally.",none
ANTH 87,Freshman Seminar ,1,"The Freshman Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman Seminars are offered in all campus departments and undergraduate colleges. Topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering freshmen.",none
ANTH 101,Foundations of Social Complexity ,4,"Course examines archaeological evidence for three key tipping points in the human career: (1) the origins of modern human social behaviors, (2) the beginnings of agriculture and village life, and (3) the emergence of cities and states. )",upper-division standing. (Required for all majors in anthropology.)
ANTH 102,Humans Are Cultural Animals ,4,"This class examines humans from a comparative perspective; if we ignore culture, whats left? How do culture and biology interact? And how does biology inform cultural debates over race, sex, marriage, war, peace, etc.? ",upper-division standing.
ANTH 103,Sociocultural Anthropology ,4,A systematic analysis of social anthropology and of the concepts and constructs required for cross-cultural and comparative study of human societies. Required for all majors in anthropology. ,upper-division standing.
ANTH 147,Understanding the Human Social Order: Anthropology and the Long-Term ,4,"This course explores the nature of human social systems over the long term. Returning to the original project of anthropology in the broadest sense, we examine the origins and reproduction of the state, social classes, multiethnic configurations, and political economies. ",upper-division standing.
