Course Number,Course Name,Number of Units,Description,Prerequisites
MATH 2,Introduction to College Mathematics ,4,A highly adaptive course designed to build on students' strengths while increasing overall mathematical understanding and skill. This multimodality course will focus on several topics of study designed to develop conceptual understanding and mathematical relevance: linear relationships; exponents and polynomials; rational expressions and equations; models of quadratic and polynomial functions and radical equations; exponential and logarithmic functions; and geometry and trigonometry. Workload credit onlynot for baccalaureate credit. , department approval required.
MATH 3C,Precalculus ,4,"Functions and their graphs. Linear and polynomial functions, zeroes, inverse functions, exponential and logarithmic, trigonometric functions and their inverses. Emphasis on understanding algebraic, numerical and graphical approaches making use of graphing calculators. (No credit given if taken after Math 4C, 1A/10A, or 2A/20A.) Three or more years of high school mathematics or equivalent recommended. ", Math Placement Exam qualifying score.
MATH 4C,Precalculus for Science and Engineering ,4,"Review of polynomials. Graphing functions and relations: graphing rational functions, effects of linear changes of coordinates. Circular functions and right triangle trigonometry. Reinforcement of function concept: exponential, logarithmic, and trigonometric functions. Vectors. Conic sections. Polar coordinates. (No credit given if taken after Math 1A/10A or 2A/20A. Two units of credit given if taken after Math 3C.) ", Math Placement Exam qualifying score or Math 3C with a grade of C or better.
MATH 10A,Calculus I ,4,"Differential calculus of functions of one variable, with applications. Functions, graphs, continuity, limits, derivatives, tangent lines, optimization problems. (No credit given if taken after or concurrent with Math 20A.) "," Math Placement Exam qualifying score, or AP Calculus AB score of 2, or SAT II Math Level 2 score of 600 or higher, or Math 3C, or Math 4C."
MATH 10B,Calculus II ,4,"Integral calculus of functions of one variable, with applications. Antiderivatives, definite integrals, the Fundamental Theorem of Calculus, methods of integration, areas and volumes, separable differential equations. (No credit given if taken after or concurrent with Math 20B.) "," AP Calculus AB score of 3, 4, or 5 (or equivalent AB subscore on BC exam), or Math 10A, or Math 20A."
MATH 10C,Calculus III ,4,"Introduction to functions of more than one variable. Vector geometry, partial derivatives, velocity and acceleration vectors, optimization problems. (No credit given if taken after or concurrent with 20C.) "," AP Calculus BC score of 3, 4, or 5, or Math 10B, or Math 20B."
MATH 11,Calculus-Based Introductory Probability and Statistics ,5,"Events and probabilities, conditional probability, Bayes formula. Discrete and continuous random variables: mean, variance; binomial, Poisson distributions, normal, uniform, exponential distributions, central limit theorem. Sample statistics, confidence intervals, hypothesis testing, regression. Applications. Introduction to software for probabilistic and statistical analysis. Emphasis on connections between probability and statistics, numerical results of real data, and techniques of data analysis. "," AP Calculus BC score of 3, 4, or 5, or Math 10B or Math 20B."
MATH 15A,Introduction to Discrete Mathematics ,4,"Basic discrete mathematical structure: sets, relations, functions, sequences, equivalence relations, partial orders, and number systems. Methods of reasoning and proofs: propositional logic, predicate logic, induction, recursion, and pigeonhole principle. Infinite sets and diagonalization. Basic counting techniques; permutation and combinations. Applications will be given to digital logic design, elementary number theory, design of programs, and proofs of program correctness. Credit not offered for both Math 15A and CSE 20. Equivalent to CSE 20. ", CSE 8A or CSE 8B or CSE 11.
MATH 18,Linear Algebra ,4,"Matrix algebra, Gaussian elimination, determinants. Linear and affine subspaces, bases of Euclidean spaces. Eigenvalues and eigenvectors, quadratic forms, orthogonal matrices, diagonalization of symmetric matrices. Applications. Computing symbolic and graphical solutions using Matlab. Students may not receive creditfor both Math 18 and 31AH. "," Math Placement Exam qualifying score, or AP Calculus AB score of 2, or SAT II Math Level 2 score of 600 or higher, or Math 3C, or Math 4C, or Math 10A, or Math 20A. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 20A,Calculus for Science and Engineering ,4,"Foundations of differential and integral calculus of one variable. Functions, graphs, continuity, limits, derivative, tangent line. Applications with algebraic, exponential, logarithmic, and trigonometric functions. Introduction to the integral. (Two credits given if taken after Math 1A/10A and no credit given if taken after Math 1B/10B or Math 1C/10C. Formerly numbered Math 2A.) "," Math Placement Exam qualifying score, or AP Calculus AB score of 2 or 3 (or equivalent AB subscore on BC exam), or SAT II Math 2C score of 650 or higher, or Math 4C with a grade of C or better, or Math 10A with a grade of C or better."
